elapsed_seconds,elapsed_days,earth_ssb_error_km,earth_heliocentric_error_km,saturn_ssb_error_km,saturn_heliocentric_error_km
91800,1.0625,253.386768300208,253.388125590241,2.98812357275784,2.99147652170995
183600,2.125,506.957580014266,506.960294687851,5.97625114992225,5.98295681626688
276300,3.19791666666667,763.38380038028,763.387884696564,8.99368165669225,9.00377229862987
368100,4.26041666666667,1017.86410936083,1017.86954772358,11.9818257343272,11.9952664426177
460800,5.33333333333333,1275.5653224408,1275.57212447293,14.9992777350127,15.0160971064439
552600,6.39583333333333,1531.65550335862,1531.66365089959,17.9874484786436,18.007607661667
645300,7.46875,1791.32716204691,1791.33666216069,21.0049321673862,21.0284550057768
737100,8.53125,2049.70409571866,2049.71492816059,23.9931395379293,24.0199818067994
828900,9.59375,2309.46410686841,2309.47626375216,26.981368689496,27.0115151713134
921600,10.6666666666667,2573.33816577104,2573.35165150916,29.9989192607123,30.0323840596978
1013400,11.7291666666667,2836.363105783,2836.37789857002,32.9872025324073,33.0239315727816
1106100,12.8020833333333,3103.85594040531,3103.87204393721,36.0048126082755,36.0448121111906
1197900,13.8645833333333,3370.77662792683,3370.79402053456,38.9931589857029,39.0363674281403
1289700,14.9270833333333,3639.86169641018,3639.88036947126,41.9815412873423,42.0279252256669
1382400,16,3913.92672005721,3913.94667785943,44.9992603986425,45.0488133504699
1474200,17.0625,4187.78743926554,4187.80866190819,47.9877239666279,48.0403738977506
1566900,18.1354166666667,4466.94569332717,4466.96818665673,51.005525564309,51.0612562006655
1658700,19.1979166666667,4746.10336301901,4746.12710942317,53.9940739614624,54.0528062178695
1750500,20.2604166666667,5028.07230536084,5028.0973010172,56.9826712056497,57.04435152444
1843200,21.3333333333333,5315.76729414174,5315.79354922536,60.0006220919806,60.0652209227419
1935000,22.3958333333333,5603.70345485892,5603.73095709354,62.989326102693,63.056753806254
2027700,23.46875,5897.6229445606,5897.65170849346,66.0073888503611,66.077607066931
2119500,24.53125,6191.90776244341,6191.93778069982,68.9962112256209,69.0691237427182
2212200,25.6041666666667,6492.41325662297,6492.44454932308,72.0144008138973,72.0899606537566
2304000,26.6666666666667,6793.38289160666,6793.41545728894,75.0033537340491,75.0814594167078
2395800,27.7291666666667,7097.79073868159,7097.82459154877,77.992375470536,78.0729483877625
2488500,28.8020833333333,7408.74051668059,7408.77568744569,81.01077411576,81.0937556356985
2580300,29.8645833333333,7720.25647824777,7720.29297584518,83.9999417314194,84.0852239692371
2673000,30.9375,8038.50329772755,8038.5411612728,87.0184929900071,87.1060107341002
2764800,32,8357.35007981664,8357.38932616531,90.0078177983638,90.0974608394577
2856600,33.0625,8679.90929708279,8679.94996075129,92.9972240513185,93.088902350473
2949300,34.1354166666667,9009.4313813007,9009.47351610381,96.016025090609,96.1096669065194
3041100,35.1979166666667,9339.54263883978,9339.58627514275,99.0056047514889,99.1010993043102
3133800,36.2708333333333,9676.73283179202,9676.77803506879,102.024585144052,102.121857989127
3225600,37.3333333333333,10014.4637399009,10014.5105511993,105.014347436154,105.113290425509
3318300,38.40625,10359.3605726533,10359.4090711688,108.033517532084,108.134056798509
3410100,39.46875,10704.7239467561,10704.7741861308,111.023472342774,111.125505897099
3501900,40.53125,11053.8768958239,11053.9289535412,114.013529176464,114.116974071807
3594600,41.6041666666667,11410.2871304207,11410.34111159,117.033006393258,117.137796453624
3686400,42.6666666666667,11767.0191272963,11767.0751091232,120.023272740691,120.129322068337
3779100,43.7395833333333,12131.0478627804,12131.1059721752,123.04296666222,123.150221226075
3870900,44.8020833333333,12495.2807860396,12495.3411199026,126.033453863689,126.141844618898
3962700,45.8645833333333,12863.2049056553,12863.2675933347,129.024054161024,129.133534725524
4055400,46.9375,13238.4461176563,13238.5113272767,132.044093423973,132.154639311392
4147200,48,13613.6766847237,13613.7445503504,135.034932414341,135.146512623225
4239900,49.0729166666667,13996.2057682753,13996.2764925933,138.055218518052,138.167838877256
4331700,50.1354166666667,14378.551853493,14378.6256014239,141.046306795202,141.159971269416
4423500,51.1979166666667,14764.352735642,14764.4297180001,144.037522016924,144.152264806682
4516200,52.2708333333333,15157.3769237617,15157.4574068425,147.058194948726,147.174082965956
4608000,53.3333333333333,15549.9242848115,15550.0084884932,150.049674603588,150.16677704043
4700700,54.40625,15949.618530234,15949.7067697654,153.070621057411,153.189055766788
4792500,55.46875,16348.6229893411,16348.7155238822,156.062373975093,156.18225800357
4885200,56.5416666666667,16754.6822650772,16754.7794599052,159.083595392012,159.205099884592
4977000,57.6041666666667,17159.8317660289,17159.9339156798,162.075630118397,162.198917623818
5068800,58.6666666666667,17567.9173225059,17568.0247820069,165.067812455457,165.193080469651
5161500,59.7395833333333,17982.8981141702,17983.0113088824,168.089479704609,168.216963830302
5253300,60.8020833333333,18396.6291855946,18396.7484369196,171.081962984119,171.211865437529
5346000,61.875,18817.1314132983,18817.2571622314,174.103940729583,174.236513286462
5437800,62.9375,19236.1459707298,19236.2785256812,177.096735565394,177.232172429684
5529600,64,19657.6453275548,19657.785044413,180.089690704129,180.228196140799
5622300,65.0729166666667,20085.695402583,20085.8426914501,183.112150886282,183.25393961101
5714100,66.1354166666667,20511.8786007178,20512.0336975014,186.105433297503,186.250626055026
5806800,67.2083333333333,20944.4404277377,20944.6036894986,189.128232656224,189.276981827425
5898600,68.2708333333333,21374.8693348985,21375.0409264166,192.121855373851,192.27420696799
5990400,69.3333333333333,21807.2413223345,21807.421452579,195.115650225756,195.271647072036
6083100,70.40625,22245.7080818678,22245.8970143549,198.138974414343,198.298659595263
6174900,71.46875,22681.6402126446,22681.8380118289,201.133125473837,201.296440043227
6267600,72.5416666666667,23123.4681609191,23123.6750412576,204.156814984183,204.323745386869
6359400,73.6041666666667,23562.496479417,23562.7124612237,207.151333326487,207.321777578525
6451200,74.6666666666667,24002.8912559136,24003.1164348134,210.14603806565,210.319917457443
6543900,75.7395833333333,24448.8707615742,24449.1053172524,213.170295652636,213.347558014186
6635700,76.8020833333333,24891.6551193575,24891.8990464404,216.165384302304,216.345910901279
6728400,77.875,25339.8027613317,25340.0562389295,219.190035301719,219.373775244465
6820200,78.9375,25784.487408508,25784.7504337271,222.185518189885,222.372365863326
6912000,80,26229.9294780431,26230.2021455662,225.181200286829,225.371090266742
7004700,81.0729166666667,26680.3769530097,26680.6594598394,228.20645565728,228.399362526314
7096500,82.1354166666667,27126.9524844483,27127.2448436183,231.20254638247,231.398397884998
7189200,83.2083333333333,27578.2784916795,27578.5809167962,234.228220638578,234.42701425943
7281000,84.2708333333333,28025.4585243861,28025.7710405365,237.224732643541,237.426420365856
7373700,85.34375,28477.126565371,28477.4494020743,240.250837655407,240.45543931562
7465500,86.40625,28924.3800303007,28924.7132226677,243.247778765743,243.455268143698
7558200,87.4791666666667,29375.8554518708,29376.1992432868,246.27432029847,246.484737682817
7650000,88.5416666666667,29822.6558438603,29823.0102761667,249.271700304531,249.485037479545
7741800,89.6041666666667,30269.0368613308,30269.4020821488,252.26930232086,252.485587182546
7840800,90.75,30749.810700556,30750.1877244393,255.50226524955,255.721767830684
7934400,91.8333333333333,31203.629506794,31204.0178527606,258.559129266484,258.78171770697
8020800,92.8333333333333,31621.7876748911,31622.1866133823,261.381064892488,261.606544063321
8118000,93.9583333333333,32091.2143427465,32091.6253604286,264.555991693012,264.784776032562
8215200,95.0833333333333,32559.4301982945,32559.853466941,267.731184425989,267.963333845902
8308800,96.1666666666667,33009.0129780343,33009.4482051455,270.789031897285,271.024481475771
8406000,97.2916666666667,33474.3921087504,33474.8399199863,273.964757640812,274.203698100543
8504100,98.4270833333333,33942.3760466045,33942.8367272187,277.170166926242,277.412698745478
8590500,99.4270833333333,34352.9986279466,34353.4707810133,279.993515534545,280.239267605888
8682300,100.489583333333,34787.5695124756,34788.0539937483,282.993569195387,283.242801259106
8778600,101.604166666667,35241.4039031024,35241.9014669125,286.140955506787,286.393903385412
8877600,102.75,35705.6329328523,35706.1441015822,289.376880224441,289.633716630339
8975700,103.885416666667,36163.1570971415,36163.6818976032,292.583686642629,292.844442967834
9063900,104.90625,36572.2711992473,36572.8083790093,295.467124555117,295.731460277689
9150300,105.90625,36970.8713074716,36971.4207226061,298.291953943642,298.559845085855
9240300,106.947916666667,37383.6895653283,37384.2518352636,301.234735465419,301.506379407968
9333900,108.03125,37810.3096925556,37810.8854444026,304.29550255569,304.571099807322
9427500,109.114583333333,38234.0361003874,38234.6254429137,307.356554166501,307.636153270491
9518400,110.166666666667,38642.6450841464,38643.2477230533,310.329575490336,310.613104079588
9615600,111.291666666667,39076.2797463187,39076.8967021745,313.508954072652,313.796727312976
9708300,112.364583333333,39486.534964473,39487.1656623585,316.541437043388,316.833295749992
9800100,113.427083333333,39889.5011458385,39890.1455293449,319.544765896005,319.840702168085
9891900,114.489583333333,40289.0542875026,40289.7124255975,322.548384445121,322.848425515956
9984600,115.5625,40688.9379747285,40689.6100641872,325.581739301413,325.885948762643
10076400,116.625,41081.2677314694,41081.9536898971,328.585936069899,328.894292449218
10169100,117.697916666667,41473.6174026246,41474.3174108384,331.61988427029,331.932442072755
10260900,118.760416666667,41858.2537132198,41858.9676703784,334.62467408761,334.941402329567
10352700,119.822916666667,42238.8928014342,42239.620733742,337.629763129804,337.950667267079
10445400,120.895833333333,42619.0953936968,42619.8374552289,340.664617556157,340.989739401947
10537200,121.958333333333,42991.36902476,42992.1250854277,343.670312634469,343.999608317605
10629900,123.03125,43362.9024755351,43363.6726695928,346.705786451959,347.039290182108
10721700,124.09375,43726.3723066461,43727.1564836549,349.712100511521,350.049761770101
10814400,125.166666666667,44088.7951111212,44089.5933842977,352.748204516137,353.090051152225
10906200,126.229166666667,44443.024888905,44443.8370872162,355.755147864626,356.101124723632
10998000,127.291666666667,44792.4957936017,44793.3218725486,358.762407984993,359.112499356171
11090700,128.364583333333,45140.4562018192,45141.2962417682,361.799474742764,362.15370488724
11183400,129.4375,45483.3492686857,45484.2032031968,364.836869862712,365.195223364632
11275200,130.5,45817.8168851433,45818.6845037956,367.845102751408,368.207526910416
11367000,131.5625,46147.1138309995,46147.9950492173,370.853663442231,371.220149751856
11459700,132.635416666667,46474.2945071723,46475.1893635775,373.892058260103,374.262643778858
11551500,133.697916666667,46792.9119324928,46793.8201929442,376.901289543213,377.275939550998
11644200,134.770833333333,47109.1206723952,47110.0423589203,379.940366521548,380.319136698124
11736000,135.833333333333,47416.6912328296,47417.6261016243,382.950276188824,383.333154852116
11827800,136.895833333333,47718.6334303473,47719.5813653466,385.960526971334,386.34755794974
11920500,137.96875,48017.7369200824,48018.6979309607,389.00063688696,389.391924361001
12012300,139.03125,48308.108112537,48309.0819572236,392.011579037595,392.407166004163
12105000,140.104166666667,48595.3543495356,48596.3410432072,395.052393742247,395.452432170263
12196800,141.166666666667,48873.8136324377,48874.8129502066,398.06403892649,398.468621497571
12289500,142.239583333333,49148.8613500455,49149.8733285904,401.10556720311,401.514904582754
12381300,143.302083333333,49415.0746193648,49416.0990678717,404.117925402632,404.532166615416
12473100,144.364583333333,49675.0739303018,49676.1108040802,407.130640896585,407.550009415431
12565800,145.4375,49931.2380712032,49932.2874742828,410.173257814313,410.598059257866
12657600,146.5,50178.5182241347,50179.5800483885,413.186701231048,413.617159932207
12750300,147.572916666667,50421.6904943131,50422.7649093283,416.230060667267,416.666530716087
