step,x,y,r,phi
0,-189.52,-0.144744,189.52,-3.14083
1,-189.039,-0.289414,189.039,-3.14006
2,-188.559,-0.434111,188.559,-3.13929
3,-188.078,-0.57883,188.079,-3.13851
4,-187.598,-0.72352,187.599,-3.13774
5,-187.117,-0.868221,187.119,-3.13695
6,-186.637,-1.01293,186.639,-3.13617
7,-186.156,-1.15759,186.16,-3.13537
8,-185.676,-1.30228,185.68,-3.13458
9,-185.195,-1.44701,185.201,-3.13378
10,-184.714,-1.59172,184.721,-3.13298
11,-184.234,-1.73641,184.242,-3.13217
12,-183.753,-1.88111,183.763,-3.13136
13,-183.272,-2.02582,183.284,-3.13054
14,-182.792,-2.17054,182.805,-3.12972
15,-182.311,-2.31525,182.326,-3.12889
16,-181.83,-2.45995,181.847,-3.12806
17,-181.35,-2.60463,181.368,-3.12723
18,-180.869,-2.74933,180.89,-3.12639
19,-180.388,-2.89405,180.412,-3.12555
20,-179.908,-3.03878,179.933,-3.1247
21,-179.427,-3.18347,179.455,-3.12385
22,-178.946,-3.3282,178.977,-3.123
23,-178.465,-3.47287,178.499,-3.12214
24,-177.984,-3.61757,178.021,-3.12127
25,-177.504,-3.76229,177.543,-3.1204
26,-177.023,-3.90698,177.066,-3.11953
27,-176.542,-4.05163,176.588,-3.11865
28,-176.061,-4.19629,176.111,-3.11776
29,-175.58,-4.34102,175.634,-3.11687
30,-175.099,-4.48574,175.156,-3.11598
31,-174.618,-4.63043,174.679,-3.11508
32,-174.137,-4.7751,174.203,-3.11418
33,-173.656,-4.91982,173.726,-3.11327
34,-173.175,-5.0645,173.249,-3.11236
35,-172.694,-5.20917,172.773,-3.11144
36,-172.213,-5.35383,172.296,-3.11051
37,-171.732,-5.49851,171.82,-3.10959
38,-171.251,-5.64321,171.344,-3.10865
39,-170.77,-5.78791,170.868,-3.10771
40,-170.289,-5.9326,170.392,-3.10677
41,-169.807,-6.0773,169.916,-3.10582
42,-169.326,-6.22201,169.44,-3.10486
43,-168.845,-6.3667,168.965,-3.1039
44,-168.364,-6.51137,168.49,-3.10294
45,-167.883,-6.65603,168.014,-3.10197
46,-167.401,-6.80073,167.539,-3.10099
47,-166.92,-6.94542,167.064,-3.10001
48,-166.439,-7.09005,166.59,-3.09902
49,-165.957,-7.23477,166.115,-3.09803
50,-165.476,-7.37941,165.64,-3.09703
51,-164.995,-7.52409,165.166,-3.09602
52,-164.513,-7.66879,164.692,-3.09501
53,-164.032,-7.8134,164.218,-3.094
54,-163.55,-7.95806,163.744,-3.09297
55,-163.069,-8.10268,163.27,-3.09194
56,-162.587,-8.24733,162.796,-3.09091
57,-162.106,-8.39197,162.323,-3.08987
58,-161.624,-8.53667,161.849,-3.08882
59,-161.143,-8.68134,161.376,-3.08777
60,-160.661,-8.82597,160.903,-3.08671
61,-160.179,-8.97066,160.43,-3.08565
